type,x,y,time
mouse,154,111,1775454351478
mouse,154,112,1775454351485
mouse,154,113,1775454351491
mouse,153,113,1775454351504
mouse,152,113,1775454351510
mouse,152,114,1775454351528
mouse,151,114,1775454351554
mouse,150,114,1775454351590
mouse,149,114,1775454351607
mouse,149,115,1775454351631
click,149,115,1775454351749
mouse,152,138,1775454358049
mouse,156,157,1775454358055
mouse,157,166,1775454358062
mouse,157,168,1775454358068
mouse,157,171,1775454358075
mouse,156,171,1775454358110
mouse,157,171,1775454358173
mouse,160,169,1775454358187
mouse,166,157,1775454358194
mouse,184,127,1775454358201
mouse,220,82,1775454358208
mouse,251,49,1775454358214
mouse,276,25,1775454358221
mouse,307,3,1775454358228
mouse,984,24,1775454358500
mouse,981,102,1775454358507
mouse,977,165,1775454358513
mouse,973,215,1775454358520
mouse,966,257,1775454358528
mouse,957,297,1775454358533
mouse,942,336,1775454358541
mouse,926,370,1775454358547
mouse,904,402,1775454358555
mouse,881,433,1775454358562
mouse,857,459,1775454358575
mouse,828,484,1775454358581
mouse,804,514,1775454358587
mouse,772,555,1775454358593
mouse,744,586,1775454358599
mouse,724,603,1775454358605
mouse,711,612,1775454358611
mouse,709,614,1775454358617
mouse,697,614,1775454358624
mouse,686,614,1775454358632
mouse,678,614,1775454358639
mouse,673,614,1775454358647
mouse,670,614,1775454358653
mouse,667,614,1775454358666
mouse,664,614,1775454358672
mouse,662,614,1775454358680
mouse,661,614,1775454358687
mouse,660,614,1775454358694
mouse,658,614,1775454358701
mouse,656,614,1775454358708
mouse,654,614,1775454358715
mouse,651,614,1775454358722
mouse,646,614,1775454358729
mouse,640,614,1775454358736
mouse,634,608,1775454358742
mouse,626,586,1775454358750
mouse,623,549,1775454358756
mouse,630,520,1775454358763
mouse,643,496,1775454358770
mouse,660,471,1775454358777
mouse,682,448,1775454358784
mouse,703,429,1775454358791
mouse,639,389,1775454358959
mouse,577,350,1775454358965
mouse,515,307,1775454358972
mouse,452,262,1775454358980
mouse,393,219,1775454358987
mouse,341,180,1775454358993
mouse,300,146,1775454358999
mouse,266,117,1775454359007
mouse,238,96,1775454359014
mouse,222,86,1775454359020
mouse,212,81,1775454359028
mouse,207,79,1775454359034
mouse,204,78,1775454359047
mouse,204,79,1775454359104
mouse,204,80,1775454359125
mouse,204,81,1775454359131
mouse,205,81,1775454359144
mouse,205,82,1775454359153
mouse,206,82,1775454359159
mouse,207,83,1775454359166
mouse,207,85,1775454359173
mouse,208,88,1775454359180
mouse,208,95,1775454359193
mouse,209,107,1775454359199
mouse,209,123,1775454359205
mouse,209,145,1775454359211
mouse,207,159,1775454359217
mouse,204,169,1775454359223
mouse,200,176,1775454359229
mouse,196,180,1775454359236
mouse,195,181,1775454359243
mouse,193,183,1775454359249
mouse,192,184,1775454359256
mouse,190,185,1775454359263
mouse,188,185,1775454359270
mouse,183,186,1775454359277
mouse,175,187,1775454359290
mouse,167,189,1775454359296
mouse,161,189,1775454359302
mouse,150,189,1775454359308
mouse,140,190,1775454359314
mouse,132,190,1775454359322
mouse,128,191,1775454359326
mouse,124,191,1775454359333
mouse,120,191,1775454359340
mouse,115,193,1775454359347
mouse,110,194,1775454359354
mouse,107,195,1775454359361
mouse,104,195,1775454359368
mouse,102,195,1775454359381
mouse,96,197,1775454359387
mouse,91,197,1775454359393
mouse,88,199,1775454359399
mouse,85,200,1775454359405
mouse,84,200,1775454359411
mouse,83,200,1775454359418
mouse,81,200,1775454359423
mouse,79,200,1775454359430
mouse,75,200,1775454359437
mouse,69,200,1775454359445
mouse,65,200,1775454359451
mouse,60,197,1775454359458
mouse,49,192,1775454359465
mouse,38,185,1775454359472
mouse,31,178,1775454359478
mouse,23,170,1775454359485
mouse,13,157,1775454359493
mouse,7,144,1775454359499
mouse,2,137,1775454359506
mouse,0,133,1775454359514
mouse,0,131,1775454359526
mouse,0,129,1775454359534
mouse,1,129,1775454359625
mouse,2,129,1775454359645
mouse,3,130,1775454359652
mouse,4,131,1775454359660
mouse,4,133,1775454359666
mouse,6,134,1775454359673
mouse,8,137,1775454359680
mouse,10,139,1775454359688
mouse,12,141,1775454359694
mouse,14,144,1775454359701
mouse,15,145,1775454359714
mouse,16,147,1775454359720
mouse,16,148,1775454359726
mouse,18,149,1775454359732
mouse,18,150,1775454359742
mouse,19,151,1775454359749
mouse,20,151,1775454359762
mouse,20,152,1775454359770
mouse,20,153,1775454359786
mouse,21,153,1775454359798
mouse,22,153,1775454359813
mouse,22,154,1775454359833
mouse,23,154,1775454359869
mouse,938,113,1775454362291
mouse,939,113,1775454362291
mouse,937,114,1775454362751
mouse,936,115,1775454362756
mouse,934,115,1775454362763
mouse,932,115,1775454362771
mouse,931,116,1775454362777
mouse,928,117,1775454362784
mouse,926,117,1775454362791
mouse,924,118,1775454362804
mouse,923,119,1775454362810
mouse,920,120,1775454362816
mouse,916,121,1775454362822
mouse,912,122,1775454362828
mouse,908,124,1775454362836
mouse,900,126,1775454362840
mouse,895,128,1775454362847
mouse,888,130,1775454362854
mouse,880,132,1775454362861
mouse,870,134,1775454362868
mouse,859,137,1775454362875
mouse,845,140,1775454362881
mouse,830,142,1775454362888
mouse,808,145,1775454362901
mouse,771,149,1775454362907
mouse,732,150,1775454362914
mouse,693,153,1775454362919
mouse,661,153,1775454362925
mouse,628,153,1775454362931
mouse,598,153,1775454362937
mouse,565,153,1775454362944
mouse,537,151,1775454362951
mouse,504,148,1775454362958
mouse,473,145,1775454362965
mouse,439,140,1775454362972
mouse,396,130,1775454362979
mouse,355,117,1775454362992
mouse,312,104,1775454362998
mouse,276,89,1775454363004
mouse,245,80,1775454363010
mouse,225,73,1775454363016
mouse,215,69,1775454363022
mouse,208,69,1775454363028
mouse,204,69,1775454363035
mouse,199,70,1775454363041
mouse,198,73,1775454363048
mouse,194,77,1775454363341
mouse,190,86,1775454363347
mouse,184,97,1775454363353
mouse,179,109,1775454363361
mouse,174,124,1775454363368
mouse,168,141,1775454363375
mouse,162,162,1775454363382
mouse,159,181,1775454363389
mouse,157,193,1775454363395
mouse,156,205,1775454363402
mouse,156,218,1775454363409
mouse,157,225,1775454363422
mouse,159,232,1775454363428
mouse,160,235,1775454363434
mouse,161,237,1775454363440
mouse,163,238,1775454363446
mouse,164,239,1775454363452
mouse,168,240,1775454363459
mouse,174,240,1775454363466
mouse,190,240,1775454363473
mouse,224,239,1775454363479
mouse,267,237,1775454363486
mouse,306,233,1775454363493
mouse,339,232,1775454363500
mouse,367,230,1775454363507
mouse,388,228,1775454363514
mouse,405,225,1775454363521
mouse,420,223,1775454363528
mouse,435,218,1775454363535
mouse,446,212,1775454363541
mouse,455,205,1775454363548
mouse,459,199,1775454363555
mouse,460,193,1775454363562
mouse,460,186,1775454363569
mouse,457,176,1775454363576
mouse,445,158,1775454363583
mouse,420,128,1775454363590
mouse,388,93,1775454363597
mouse,353,59,1775454363610
mouse,320,27,1775454363617
mouse,180,4,1775454364361
mouse,170,25,1775454364368
mouse,160,45,1775454364375
mouse,149,66,1775454364382
mouse,144,77,1775454364389
mouse,138,86,1775454364395
mouse,134,92,1775454364403
mouse,131,96,1775454364416
mouse,128,99,1775454364422
mouse,124,102,1775454364428
mouse,121,105,1775454364434
mouse,119,108,1775454364440
mouse,117,108,1775454364446
mouse,116,109,1775454364453
mouse,116,110,1775454364459
mouse,116,111,1775454364466
mouse,115,111,1775454364472
mouse,114,113,1775454364479
mouse,113,115,1775454364486
mouse,112,117,1775454364493
mouse,112,120,1775454364500
